1	179.0	26.6
2	178.9	27.5
3	194.9	23.6
4	203.3	21.2
5	214.5	18.3
6	224.1	16.3
7	232.1	15.2
8	260.0	14.0
9	260.0	11.8
10	252.8	11.9
11	232.1	13.3
12	224.8	14.5
13	217.7	16.1
14	209.8	18.0
15	197.1	21.7
16	191.2	23.1
17	179.0	26.6
18	172.6	28.2
19	158.4	31.6
20	150.8	33.6
21	144.0	35.5
22	130.2	40.0
23	123.4	42.5
24	116.8	44.9
25	103.8	49.2
26	89.1	52.6
27	74.8	55.5
28	62.0	57.8
29	45.9	60.4
30	30.1	62.4
31	16.3	63.7
32	5.0	64.4
33	0.0	64.7
34	0.0	64.7
35	0.0	0.0
36	260.0	0.0
37	260.0	11.8
38	260.0	14.0
39	260.0	19.5
40	260.0	19.5
41	247.4	19.8
42	227.6	21.0
43	217.6	22.8
44	207.6	25.1
45	198.6	27.1
46	187.9	29.6
47	177.8	31.7
48	167.2	32.6
49	157.9	34.6
50	147.9	37.3
51	138.0	40.4
52	118.1	46.6
53	98.2	52.3
54	78.3	57.9
55	68.2	61.0
56	58.4	64.1
57	46.8	65.9
58	38.5	69.5
59	28.6	70.5
60	18.6	71.0
61	8.7	71.1
62	0.0	71.0
63	49.9	64.8
64	49.9	64.8
65	63.7	59.7
66	0.0	66.0
67	9.5	65.7
68	20.0	65.0
69	36.6	63.4
70	54.8	61.0
71	63.7	59.7
72	70.8	58.4
73	81.7	55.5
74	88.9	53.6
75	89.1	52.6
76	0.0	68.4
77	7.5	68.4
78	36.9	65.9
79	52.0	64.6
80	67.3	60.8
81	68.2	61.0
82	116.8	44.9
83	119.0	44.9
84	128.3	42.0
85	136.9	40.1
86	138.0	40.4
